type,strategy,final_equity,total_return_pct,max_drawdown_pct,total_trades,win_rate_pct,avg_return_pct,profit_factor,timestamp,symbol,action,quantity,price,amount,commission,profit,return_pct,trade_type
SUMMARY,A78InferenceStrategy,80192.07270071415,-19.807927299285847,20.375838081146195,13.0,30.76923076923077,-1.3384615124537562,0.02060995756205458,,,,,,,,,,
SUMMARY,A73LSTMStrategy,100014.4015535813,0.014401553581294137,13.985219283978227,6.0,33.33333333333333,-1.3161814868552966,1.002640403847627,,,,,,,,,,
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 14:30:00+00:00,META,BUY,154.0,614.8873070983886,94692.64529315186,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 14:30:00+00:00,NFLX,BUY,44.0,113.94544828033446,5013.5997243347165,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 15:30:00+00:00,META,SELL,154.0,610.5045925598145,94017.70725421143,0.0,-674.9380389404255,-0.7127671181335524,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 16:30:00+00:00,META,BUY,145.0,614.1269173278808,89048.40301254272,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 16:30:00+00:00,NFLX,SELL,44.0,114.98646909332275,5059.404640106201,0.0,45.8049157714849,0.9136133375219343,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 17:30:00+00:00,META,SELL,145.0,611.3941622009278,88652.15351913453,0.0,-396.24949340819455,-0.4449821445448962,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-12 18:30:00+00:00,META,BUY,153.0,613.0363454589843,93794.5608552246,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-13 14:30:00+00:00,META,BUY,8.0,614.8372943115234,4918.698354492187,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-13 15:30:00+00:00,META,SELL,161.0,606.5965744018555,97662.04847869874,0.0,-1051.210731018037,-1.0649134061967653,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-13 18:30:00+00:00,META,BUY,153.0,607.3735423278808,92928.15197616577,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-13 19:30:00+00:00,GOOG,BUY,16.0,280.58022244262696,4489.283559082031,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-14 14:30:00+00:00,META,SELL,153.0,608.8154351196289,93148.76157330321,0.0,220.60959713745103,0.23739802465245732,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-14 17:30:00+00:00,META,BUY,145.0,610.8452480163573,88572.56096237182,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-14 17:30:00+00:00,NFLX,BUY,43.0,112.15004113769531,4822.451768920899,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-14 18:30:00+00:00,NFLX,BUY,2.0,112.6103770866394,225.2207541732788,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 15:30:00+00:00,GOOG,SELL,16.0,288.32625425720215,4613.220068115234,0.0,123.93650903320304,2.7607191081185696,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 16:30:00+00:00,META,SELL,145.0,606.4965877990722,87942.00523086547,0.0,-630.5557315063396,-0.7119086595838838,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 16:30:00+00:00,NFLX,BUY,790.0,111.28561835861206,87915.63850330352,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 17:30:00+00:00,NFLX,BUY,40.0,110.6352918319702,4425.411673278808,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 18:30:00+00:00,NFLX,BUY,2.0,109.90993085861206,219.81986171722411,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 19:30:00+00:00,NFLX,SELL,877.0,110.19487500000001,96640.905375,0.0,-967.6371863937318,-0.9913447747517673,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-17 20:30:00+00:00,META,BUY,155.0,591.8957755737305,91743.84521392823,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-18 14:30:00+00:00,META,SELL,155.0,586.4766345214844,90903.87835083007,0.0,-839.9668630981483,-0.9155566361313004,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-18 15:30:00+00:00,NFLX,BUY,809.0,112.52623622131347,91033.7251030426,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-18 17:30:00+00:00,META,BUY,7.0,595.1374468688964,4165.962128082275,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-18 18:30:00+00:00,META,SELL,7.0,598.9203607177735,4192.442525024415,0.0,26.480396942139805,0.6356370060024904,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-11-18 18:30:00+00:00,NFLX,BUY,40.0,114.19697015762328,4567.8788063049315,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-11-19 16:30:00+00:00,NFLX,BUY,2.0,109.73484030532836,219.46968061065672,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-03 15:30:00+00:00,NFLX,SELL,851.0,103.45324475479127,88038.71128632737,0.0,-7782.362303630811,-8.121764881213336,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-12-03 16:30:00+00:00,NFLX,BUY,805.0,103.85190305328369,83600.78195789337,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-03 17:30:00+00:00,NFLX,BUY,41.0,103.62178469467163,4248.493172481537,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-03 18:30:00+00:00,NFLX,BUY,2.0,103.44669414138794,206.89338828277587,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-10 15:30:00+00:00,NFLX,SELL,848.0,94.90752433013917,80481.58063195802,0.0,-7574.587886699671,-8.60199576489038,CLOSE
TRADE,A78InferenceStrategy,,,,,,,,2025-12-11 15:30:00+00:00,NFLX,BUY,812.0,94.13204158401489,76435.21776622008,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-11 18:30:00+00:00,NFLX,BUY,40.0,94.45720866394042,3778.288346557617,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-12 15:30:00+00:00,NFLX,BUY,2.0,95.20257627868652,190.40515255737304,0.0,0.0,0.0,OPEN
TRADE,A78InferenceStrategy,,,,,,,,2025-12-30 20:30:00+00:00,NFLX,SELL,854.0,93.79000091552734,80096.66078186035,0.0,-307.25048347472125,-0.38213375274840344,CLOSE
TRADE,A73LSTMStrategy,,,,,,,,2025-11-13 18:30:00+00:00,GOOG,BUY,338.0,280.2900688934326,94738.04328598021,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-13 19:30:00+00:00,AMD,BUY,20.0,247.45867421722411,4949.173484344482,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-13 19:30:00+00:00,GOOG,BUY,1.0,280.58022244262696,280.58022244262696,0.0,0.0,0.0,OPEN
TRADE,A73LSTMStrategy,,,,,,,,2025-11-19 15:30:00+00:00,GOOG,SELL,339.0,296.4217223205567,100486.96386666871,0.0,5468.340358245876,5.755019549153056,CLOSE
